sentence	paraphrase	reference
The professional opinion supported the result of the preliminary investigation which concluded that the former police chief had not consumed alcohol before getting behind the wheel.	The result of the preliminary investigation which concluded that the former police chief had not consumed alcohol before getting behind the wheel was supported by the professional opinion.	 Das Gutachten bestätigte die Ergebnisse der Erstuntersuchung, laut der der Polizeichef keinen Alkohol konsumiert hatte, bevor er sich ans Steuer setzte. 
The Budapest Prosecutor's investigative arm is conducting an inquiry.	An inquiry is being conducted by the Budapest Prosecutor 's investigative arm.	 Die Budapester Staatsanwaltschaft hat ihre Ermittlungen zum Vorfall eingeleitet. 
About 500 people attended the ball.	The ball was attended by about 500 people.	 Rund 500 Besucher kamen zum Ball. 
If by some chance parliament fails to adopt the health insurance law, the unions will immediately retract their strike appeal.	If by some chance parliament fails to adopt the health insurance law, their strike appeal will be immediately retracted by the unions.	 Sollte der Nationalrat das Krankenversicherungsgesetz nicht annehmen, nehmen die Gewerkschaften den Aufruf zum Streik sofort zurück. 
According to the analysis, the activity of the Hungarian Guard is heightening the risk of damaging our relations with our neighbours, too.	According to the analysis, the risk of damaging our relations with our neighbours is being heightened by the activity of the Hungarian Guard, too.	 Wie der Analyse zu entnehmen ist, stellen die Tätigkeiten der Ungarischen Garde einen risikoerhöhenden Faktor auch für die Beziehungen mit den Nachbarstaaten dar. 
Zságer: I don't see much meaning in the term cult music.	Zságer: much meaning is not seen by me in the term cult music.	" Balázs Zságer: Der Begriff ""Schichtmusik"" bedeutet mir nicht gerade viel. "
They pay far more attention to changes in the genre because they consider it a part of contemporary culture.	Far more attention is paid by them to changes in the genre because they consider it a part of contemporary culture.	 Sie verfolgen die Trends in der Popmusik, die um sie herum passieren, viel aufmerksamer, weil sie sie auch für einen Teil der zeitgenössischen Kultur halten. 
Many folks first heard the name Zagar with this number.	The name Zagar was first heard by many folks with this number.	 Viele haben erst im Zusammenhang mit dieser Nummer den Namen Zagar gehört. 
Unlike all the big banking houses, he recognized the crisis at the American mortgage market in time.	Unlike all the big banking houses, the crisis at the American mortgage market was recognized by him in time.	 Zum Unterschied zu allen großen Bankhäusern erkannte er rechtzeitig die Krise am amerikanischen Hypothekenmarkt. 
"""It's like a snowball,"" he told the police."	"""It's like a snowball,"" the police was told by him."	" ""Das ist wie ein Schneeball,"" sagte er den Polizisten. "
In a single day, he lost 1 billion Euro.	In a single day, 1 billion Euro was lost by him.	 An einem einzigen Tag verlor er eine Milliarde Euro. 
"""I took only four days out of the last year."	"""Only four days were taken by me out of the last year."	" ""Ich habe nur vier Tage vom Vorjahr genommen. "
The Nicaraguan court of appeal upheld the 20-year sentence for the ex-President of the country, Arnoldo Alemán, in which he was convicted in 2003 for financial fraud of up to $ 100 million (almost 1.8 billion Czech crowns)on Thursday.	The 20-year sentence for the ex - President of the country , Arnoldo Alemán , in which he was convicted in 2003 for financial fraud of up to $ 100 million ( almost 1.8 billion Czech crowns)on Thursday was upheld by the Nicaraguan court of appeal.	 Ein Berufungsgericht in Nicaragua bestätigte am Donnerstag die zwanzigjährige Haftstrafe für den ehemaligen Präsidenten Arnold Alemán, zu der er 2003 wegen Finanzbetrugs in Höhe von 100 Millionen Dollar (beinahe 1,8 Milliarden Kronen) verurteilt worden war. 
The analysts expect further billion-dollar losses.	Further billion - dollar losses are expected by the analysts.	 Analytiker erwarten noch weitere Milliardenverluste. 
The central banks made this decision after the failure to lower the so-called LIBOR rate, a London interbank rate, which is used for lending money on a wholesale market.	This decision was made by the central banks after the failure to lower the so-called LIBOR rate, a London interbank rate, which is used for lending money on a wholesale market.	 Die Zentralbanken haben sich dazu entschlossen, nachdem es ihnen nicht gelungen war, den sog. LIBOR abzusenken, den Londoner Interbankzinssatz, der beim Geldverleih zwischen Banken benutzt wird. 
Global climate changes will mostly harm developing countries.	Developing countries will be mostly harmed by global climate changes.	 Globale Klimaveränderungen schaden angeblich Entwicklungsländern am meisten. 
So now everybody interested can read his undistorted attitudes.	So now his undistorted attitudes could be read by everybody interested.	 Jetzt könnten Interessenten seine Einstellung also unverzerrt nachlesen. 
The municipal council handles about 2000 clients a day.	About 2000 clients a day are handled by the municipal council.	 Die Stadtverwaltung fertigt täglich rund 2000 Kunden ab. 
They spend about half an hour waiting in line.	About half an hour is spent by them waiting in line.	 Man muss ungefähr eine halbe Stunde anstehen. 
