sentence	paraphrase	reference
And the cult cars from the 1950s have been driving around Havana ever since, because the once imported Zhiguli and Fiat vehicles have decayed in the salty and damp weather.	And the cult cars from the 1950s have been driving around Havana ever since, because of the once imported Zhiguli and Fiat vehicles ' decay in the salty and damp weather.	 Und die Kultautos der Fünfziger fahren in Havanna bis heute herum, weil die einst importierten Schigulis und Fiats in der salzigen und feuchten Luft schon längst auseinandergefallen sind. 
«They should end as they began: within the Security Council.»	«They should end at their beginning: within the Security Council.»	 Sie müssen so enden, wie sie begonnen haben: im Sicherheitsrat. 
Anderson took 32 first-class wickets at 33 runs each to earn a place on this tour.	Anderson took 32 first-class wickets at 33 runs each for earning a place on this tour.	 Anderson nahm 32 erstklassige Wickets mit je 33 Runs, um eine Position in dieser Tour zu verdienen. 
He had come back to fight.	He had come back for fight.	 Er war zurückkommen, um zu kämpfen. 
"To celebrate the reunion, ""Live 1974,""a recording from their heyday, is released."	"For celebration of the reunion, ""Live 1974,""a recording from their heyday, is released."	" Zum Revival erscheint ein Mitschnitt aus ihrer großen Zeit ""Live 1974"". "
The search for Fossett was called off a month after he had disappeared.	The search for Fossett was called off a month after his disappearance.	 Die Suche nach Fossett war ein Monat nach dessen Verschwinden aufgegeben worden. 
The ongoing earnings and net earnings from financial transactions had fallen to nil compared to the same period in the previous year, while earnings from write-ups on demands and specific bonds as well as from the liquidation of accruals from credit transactions had shrunk by more than 70 percent to 5 million Euros.	The ongoing earnings and net earnings from financial transactions had fallen to nil compared to the same period in the previous year, as earnings from write-ups on demands and specific bonds as well as from the liquidation of accruals from credit transactions ' shrinkage by more than 70 percent to 5 million Euros.	 Die laufenden Erträge und die Nettoerträge aus Finanzgeschäften waren gegenüber dem Vorjahreszeitraum auf Null gefallen, die Erträge aus Zuschreibungen zu Forderungen und bestimmten Wertpapieren sowie aus der Auflösung von Rückstellungen im Kreditgeschäft um mehr als 70 Prozent auf 5 Millionen Euro gesunken. 
Because it does not have client deposits, it is more dependent on refinancing at the interbank market than other banks.	Because of its lack of client deposits, it is more dependent on refinancing at the interbank market than other banks.	 Sie ist stärker als andere Institute von der Refinanzierung am Interbankenmarkt abhängig, da sie keine Kundeneinlagen hat. 
Bastian Reinhardt would also have ` wished' for things to be ` more relaxed.'	Bastian Reinhardt would also have ` wished' for things for being ` more relaxed.'	" Auch Bastian Reinhardt hätte es sich ""entspannter gewünscht"". "
The Government provided £ 14bn to protect the deposits of Bradford & Bingley's 2.6 million savers.	The Government provided £ 14bn for protection of the deposits of Bradford & Bingley's 2.6 million savers.	 Die Regierung stellte 14 Milliarden Pfund zur Verfügung, um die Einlagen von Bradford & Bingleys 2,6 Millionen Kunden zu schützen. 
While Favre and Coles played catch, the defense battered Cardinals quarterback Kurt Warner.	With Favre and Coles ' play on catch, the defense battered Cardinals quarterback Kurt Warner.	 Während Favre und Coles Fangen spielten, nahm die Verteidigung Quarterback Kurt Warner auseinander. 
And yet, as the Hurston festival has expanded, a heightened level of hometown pride has also emerged.	And yet, as the Hurston festival 's expansion, a heightened level of hometown pride has also emerged.	 Und dennoch, zur selben Zeit zu der das Hurston-Festival größer wurde, wurde auch ein erhöhter Grad an Heimatstolz geboren. 
Probably there is not a more appropriate place in the world than Paris to present a fashion award, and probably there is not a living designer as exquisite as Valentino.	Probably there is not a more appropriate place in the world than Paris for presentation of a fashion award, and probably there is not a living designer as exquisite as Valentino.	 Wahrscheinlich gab es keinen geeigneteren Platz auf der Welt als Paris, um ein Premium der Mode zu präsentieren und es gab wahrscheinlich keinen wesentlich hervorragenden Modedesigner und Bonvivanten als Valentino. 
The administration board of AIG met on Sunday evening to consider possible cessations, according to the FT.	The administration board of AIG met on Sunday evening for consideration of possible cessations, according to the FT.	 Laut der FT traf sich der Verwaltungsrat der AIG Sonntag Abend, um mögliche Verkäufe zu überprüfen. 
A few hundred Belarusians gathered on Sunday evening at the closing of polling stations in the central square of Minsk to protest against the fraudulent elections.	A few hundred Belarusians gathered on Sunday evening at the closing of polling stations in the central square of Minsk for protest against the fraudulent elections.	 Einige hundert Weißrussen versammelten sich Sonntag Abend seit Schließung der Wahllokale auf dem Marktplatz von Minsk, um gegen den betrügerischen Charakter der Parlamentswahlen zu protestieren. 
The disappearance of Paul Newman brought vertigo to moviegoers this weekend, while his major roles collide on the black screen of memories.	The disappearance of Paul Newman brought vertigo to moviegoers this weekend, as his major roles ' collision on the black screen of memories.	 Der Tod Paul Newmans versetzte die Kinoliebhaber dieses Wochenende in Taumel, während auf dem dunklen Bildschirm der Erinnerungen all seine großen Rollen abgespielt wurden. 
As for holiday, things get complicated: so many days the first year, so many days after the third to get to a total of 15 days after a certain number of years.	As for holiday, things get complicated: so many days the first year, so many days after the third for getting to a total of 15 days after a certain number of years.	 Was den Urlaub angeht, so wird die Sache kompliziert: eine bestimmte Menge an Tagen im ersten Jahr, so und so viele nach dem dritten, um schließlich nach einer bestimmten Anzahl von Jahren 15 Ferientage zu erreichen. 
To sustain the sector between 16 and 18 million Euro a year are required».	For sustenance in the sector between 16 and 18 million Euro a year are required».	" Um den Sektor zu erhalten, wären zwischen 16 und 18 Millionen Euro im Jahr von Nöten"". "
There, it will take you a good few minutes to find the right sort of bin.	There, it will take you a good few minutes for finding the right sort of bin.	 Dort müsste man ein paar Minuten reservieren, um die geeigneten Mülltonnen zu finden.
The prize for chemistry was won by the Israeli Ada Jonath, together with the Americans Venkatraman Ramakrishnan and Thomas Steitz, for their work to clarify the structure and function of ribosomes.	The prize for chemistry was won by the Israeli Ada Jonath, together with the Americans Venkatraman Ramakrishnan and Thomas Steitz, for their work for clarification of the structure and function of ribosomes.	 Den Preis für Chemie hat die Israelin Ada Jonath zusammen mit den Amerikanern, Venkatraman Ramakrishnan und Thomas Steitz, für Aufklärung der Ribosom-Struktur und -Funktion erhalten.
Click here to find out more!	Click here for finding out more!	 Klicken Sie hier, um mehr zu erfahren!
Inside the convention center, people gathered around television screens to watch the march throughout the afternoon.	Inside the convention center, people gathered around television screens for watching the march throughout the afternoon.	 Im Inneren des Kongresszentrums versammelten sich die Menschen vor Fernsehbildschirmen, um den ganzen Nachmittag die Demonstration zu verfolgen.
A stage had been erected to accommodate the speakers, before a candlelit vigil, with the participation of former South African Cape Town archbishop, Desmond Tutu.	A stage had been erected for accommodation for the speakers, before a candlelit vigil, with the participation of former South African Cape Town archbishop, Desmond Tutu.	 Eine Bühne wurde aufgebaut, um die vorgesehenen Sprecher für einen Abend mit Kerzenlicht willkommen heissen zu können, unter Teilnahme des ehemaligen Süd-Afrikanischen Erzbischof, Desmond Tutu.
"According to RTL, partner for the singer's first tour, however, Johnny Hallyday may have been put into an artificial coma to avoid ""pain and complications""."	"According to RTL, partner for the singer's first tour, however, Johnny Hallyday may have been put into an artificial coma for avoidance of ""pain and complications""."	" Laut RTL, dem Partner während der letzten Tournee des Sängers, wurde Johnny Hallyday jedoch in ein künstliches Koma versetzt, um ""Schmerzen und Komplikationen"" zu vermeiden."
A total of 250 m2 are distributed amongst 12 rooms to carry out the latest and most innovative facial, body and hydrotherapy treatments.	A total of 250 m2 are distributed amongst 12 rooms for carrying out the latest and most innovative facial, body and hydrotherapy treatments.	 Die Gesamtfläche beträgt 250 m², die für die neuesten Gesichts- und Körperbehandlungen sowie für die Hydro-Therapie auf 12 Räume aufgeteilt ist, .
Moreover, Ferrovial, the autonomous government of Castile-La Mancha, and the University of Alcala de Henares signed a protocol of cooperation yesterday to create a Center for the Innovation of Intelligent Infrastructure.	Moreover, Ferrovial, the autonomous government of Castile-La Mancha, and the University of Alcala de Henares signed a protocol of cooperation yesterday for creation of a Center for the Innovation of Intelligent Infrastructure.	 Auf der anderen Seite haben Ferrovial, die Regierung von Kastilien-La Mancha und die Universität von Alcalá de Henares gestern ein Protokoll zur Zusammenarbeit zwecks Schaffung eines Innovationszentrums für intelligente Infrastrukturen unterzeichnet.
The Jerezano group is giving a period of 15 days for shareholders to express their interest in selling securities.	The Jerezano group is giving a period of 15 days for shareholders for expression of their interest in selling securities.	 Die Gruppe aus Jeréz gibt den Aktionären eine Frist von 15 Tagen, um ihr Interesse am Verkauf ihrer Aktien mitzuteilen.
Most people came to solve the same problems as usual - request for repairs, insured events etc.	Most people came for solution of the same problems as usual - request for repairs, insured events etc.	 Die meisten Leute sind hier, um die üblichen Probleme zu lösen - Reparaturanträge, Versicherungsangelegenheiten und ähnliches.
You need not be an NHL guy to appreciate the lazy foam.	You need not be an NHL guy for appreciation of the lazy foam.	 Und man muss nicht unbedingt ein berühmter Eishockeyspieler sein, um die Vorteile des Visco-Schaums schätzen zu lernen.
"""They are actually doing better because they have the beautiful evening experience and a good wake up when nothing hurts."""	"""They are actually doing better because of their beautiful evening experience and a good wake up when nothing hurts."""	" ""Sie sind eindeutig besser dran, denn nach dem ""herrlichen"" Erlebnis am Abend, wecken sie mit guter Laune auf, ohne dass irgendwo etwas weh tut."""
The prominent American Senator Joe Lieberman called upon other countries and companies to boycott Wikileaks.	The prominent American Senator Joe Lieberman called upon other countries and companies for boycotting Wikileaks.	 Der prominente amerikanische Senator Joe Lieberman rief indes andere Länder und Unternehmen zum Boykott von Wikileaks auf.
But this year, 12 years after the Khmer Rouge surrendered to the government, long-held loyalties are finally being challenged in Anlong Veng.	But this year, 12 years after the Khmer Rouge 's surrender to the government, long-held loyalties are finally being challenged in Anlong Veng.	 Doch dieses Jahr, 12 Jahre nach der Kapitulation der Khmer Rouge gegenüber der Regierung, werden langjährige Anhänger in Anlong Veng herausgefordert.
This meeting wasn't held yet, because the internal flood of the last years advised against confronting the subject.	This meeting wasn't held yet, because of the internal flood of the last years ' advice against confronting the subject.	 Dieser Termin steht noch aus, da infogle der internen Aufruhe der letzten Jahre das Angehen dieser Angelegenheit nicht ratsam war.
No special measures are contemplated for Wednesday evening to restrict the traffic of heavy loads.	No special measures are contemplated for Wednesday evening for restriction of the traffic of heavy loads.	 Für den Schwerverkehr wurden am Mittwochabend keinerlei spezifische beschränkende Maßnahmen vorgesehen.
The National Credit Union Administration (NCUA) is responsible for the US credit unions and intervenes in bankruptcies to protect customer deposits.	The National Credit Union Administration (NCUA) is responsible for the US credit unions and intervenes in bankruptcies for protection of customer deposits.	Die National Credit Union Administration (NCUA) ist für die US-Genossenschaftsbanken zuständig und springt bei Pleiten ein, um die Kundeneinlagen zu schützen.
The IBM share price rose by one percent before the markets opened following the announcement of Buffett's investment.	The IBM share price rose by one percent before the markets ' opening following the announcement of Buffett's investment.	Nach Bekanntwerden des Buffett-Investments stieg die IBM-Aktie vorbörslich um ein Prozent.
Instead, Buffett threw a decades-old principle out of the window to invest in the US technology industry.	Instead, Buffett threw a decades-old principle out of the window for investment in the US technology industry.	Stattdessen warf Buffett ein Jahrzehnte altes Prinzip über den Haufen und stieg in die US-Technologiebranche ein.
Ronaldo pounded a free kick into the nets from about 30 meters to take an early lead.	Ronaldo pounded a free kick into the nets from about 30 meters for taking an early lead.	Ronaldo jagte einen Freistoß aus rund 30 Metern zur frühen Führung in die Maschen.
In Lyman's case, she reported the alleged rape to military police less than an hour after it occurred.	In Lyman's case, she reported the alleged rape to military police less than an hour after its occurrence.	In Lymans Fall meldete sie die mutmaßliche Vergewaltigung der Militärpolizei weniger als eine Stunde nach dem Überfall.
